size,dimension,correlation,noise_std,",K-value",shuffled,Average,AIC
100,10,0,0.2,5,True,0.99425,33.05934
300,10,0,0.2,5,True,0.99766,11.91807
500,10,0,0.2,5,True,0.99264,-138.09457
1000,10,0,0.2,5,True,0.99725,-213.65013
1500,10,0,0.2,5,True,0.99378,-310.61805
100,10,0,0.5,5,True,0.96466,170.50295
300,10,0,0.5,5,True,0.98559,424.2489
500,10,0,0.5,5,True,0.95624,549.12348
1000,10,0,0.5,5,True,0.98311,1160.78597
1500,10,0,0.5,5,True,0.96219,1751.03609
100,10,0.9,0.5,5,True,0.64541,135.05026
300,10,0.9,0.5,5,True,0.6541,433.45459
500,10,0.9,0.5,5,True,0.27809,547.59655
1000,10,0.9,0.5,5,True,0.47859,1191.05533
1500,10,0.9,0.5,5,True,0.71067,1764.45993
