size,dimension,correlation,noise_std,K-value,shuffled,Average,AIC
500,10,0.0,0.2,2,True,0.99267,-138.09457
500,10,0.0,0.2,5,True,0.99222,-138.09457
500,10,0.0,0.2,10,True,0.99218,-138.09457
500,10,0.0,0.2,20,True,0.99192,-138.09457
500,20,0,0.5,2,True,0.98319,658.79556
500,20,0,0.5,5,True,0.9842,658.79556
500,20,0,0.5,10,True,0.98403,658.79556
500,20,0,0.5,20,True,0.98348,658.79556
500,20,0.9,0.5,2,True,0.9037,659.58656
500,20,0.9,0.5,5,True,0.90708,659.58656
500,20,0.9,0.5,10,True,0.90721,659.58656
500,20,0.9,0.5,20,True,0.9018,659.58656
